,Country,Date,school_closures,workplace_closures,cancel_public_events,restrict_public_gathering,closure_public_transport,SHN_requirement,restriction_internal_movement,internation_travel_control,PI_Campaign,testing_policy,contact_tracing,Facial_Covering,Vaccine_policy,Confirmed_cases,Confirmed_Deathes
0,China,2020-05-02,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
1,China,2020-05-03,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
2,China,2020-05-04,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
3,China,2020-05-05,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
4,China,2020-05-06,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
5,China,2020-05-07,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
6,China,2020-05-08,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
7,China,2020-05-09,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
8,China,2020-05-10,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
9,China,2020-05-11,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
10,China,2020-05-12,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
11,China,2020-05-13,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
12,China,2020-05-14,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
13,China,2020-05-15,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
14,China,2020-05-16,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
15,China,2020-05-17,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
16,China,2020-05-18,2.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
17,China,2020-05-19,2.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
18,China,2020-05-20,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
19,China,2020-05-21,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
20,China,2020-05-22,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
21,China,2020-05-23,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
22,China,2020-05-24,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
23,China,2020-05-25,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
24,China,2020-05-26,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
25,China,2020-05-27,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
26,China,2020-05-28,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
27,China,2020-05-29,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
28,China,2020-05-30,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
29,China,2020-05-31,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
30,China,2020-06-01,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
31,China,2020-06-02,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
32,China,2020-06-03,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
33,China,2020-06-04,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
34,China,2020-06-05,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
35,China,2020-06-06,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
36,China,2020-06-07,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
37,China,2020-06-08,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
38,China,2020-06-09,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
39,China,2020-06-10,1.0,1.0,1.0,2.0,0.0,0.0,1.0,4.0,2.0,3.0,2.0,2.0,0.0,991.0,6.0
