,india,new_zealand,argentina,singapore,china,indonesia,finland,germany,canada,switzerland,brazil,australia,egypt,hong_kong,united_states,malaysia,israel,south_africa
0,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
1,3,3,1,1,3,3,1,1,3,1,2,0,1,2,2,3,2,1
2,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
3,3,0,1,1,3,3,1,1,3,1,2,2,1,2,2,3,2,1
4,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
5,3,0,3,1,3,3,1,1,3,1,2,2,1,2,2,3,2,1
6,3,0,1,1,3,3,2,3,3,2,3,1,2,2,2,2,2,1
7,3,0,3,1,3,2,1,1,3,2,3,1,2,2,3,3,2,2
8,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
9,3,3,1,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
10,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
11,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
12,3,3,1,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
13,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
14,3,3,1,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
15,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
16,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
17,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
18,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
19,3,0,3,1,3,2,2,3,3,2,3,1,2,2,3,3,2,2
20,3,0,3,1,3,3,2,3,3,2,3,1,2,2,3,3,2,1
21,3,0,3,1,3,3,2,3,3,1,2,2,1,2,2,3,2,1
22,3,3,1,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
23,3,0,3,1,3,2,2,3,3,2,3,1,2,2,3,3,2,2
24,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
25,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
26,3,0,1,1,3,3,2,3,3,2,3,2,1,2,2,2,2,1
27,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
28,3,0,1,1,3,3,2,3,3,2,3,1,1,2,2,2,2,1
29,3,0,3,1,3,3,1,1,3,1,2,2,1,2,2,3,2,1
30,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
31,3,3,1,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
32,3,0,3,1,3,3,2,3,3,1,3,2,1,2,2,2,2,1
33,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
34,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
35,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
36,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
37,3,0,3,1,3,3,2,3,3,2,3,1,2,2,3,3,2,1
38,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
39,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
40,3,0,1,1,3,3,1,1,3,1,2,2,1,2,2,3,2,1
41,3,0,3,1,3,3,2,3,3,2,3,1,2,2,3,3,2,1
42,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
43,3,0,1,1,3,3,2,3,3,2,3,1,1,2,2,2,2,1
44,3,0,3,1,3,3,2,3,3,2,3,2,1,2,2,2,2,1
45,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
46,3,0,1,1,3,3,1,1,3,1,2,2,1,2,2,3,2,1
47,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
48,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
49,3,0,3,1,3,3,2,3,3,2,3,1,2,2,3,3,2,1
50,3,0,3,1,3,3,2,3,3,2,3,1,2,2,3,3,2,1
51,3,0,3,1,3,3,1,1,3,1,2,2,1,2,2,3,2,1
52,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
53,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
54,3,0,3,1,3,3,2,3,3,1,3,2,1,2,2,3,2,1
55,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
56,3,0,1,1,3,3,2,3,3,2,3,1,2,2,2,2,2,1
57,3,0,3,1,3,2,2,3,3,2,3,1,2,2,3,3,2,2
58,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
59,3,0,3,1,3,2,2,3,3,2,3,1,2,2,3,3,2,2
60,3,0,1,1,3,3,2,3,3,2,3,2,1,2,2,2,2,1
61,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
62,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
63,3,0,3,1,3,3,2,3,3,1,3,2,1,2,2,3,2,1
64,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
65,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
66,3,0,3,1,3,3,2,3,3,1,3,2,1,2,2,2,2,1
67,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
68,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
69,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
70,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
71,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
72,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
73,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
74,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
75,3,0,1,1,3,3,1,1,3,1,2,2,1,2,2,3,2,1
76,3,0,1,1,3,3,1,1,3,1,2,2,1,2,2,3,2,1
77,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
78,3,0,3,1,3,3,2,3,3,1,3,2,1,2,2,2,2,1
79,3,3,1,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
80,3,0,1,1,3,3,2,3,3,2,3,2,1,2,2,2,2,1
81,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
82,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
83,3,0,3,1,3,3,1,1,3,1,2,2,1,2,2,3,2,1
84,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
85,3,0,3,1,3,3,2,3,3,2,3,1,2,2,3,3,2,1
86,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
87,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
88,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
89,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
90,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
91,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
92,3,0,3,1,3,3,2,3,3,1,3,2,1,2,2,2,2,1
93,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
94,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
95,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
96,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
97,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
98,3,0,1,1,3,3,2,3,3,2,3,2,1,2,2,2,2,1
99,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
100,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
101,3,0,3,1,3,3,2,3,3,1,3,2,1,2,2,2,2,1
102,3,0,3,1,3,3,2,3,3,2,2,1,2,2,3,3,2,2
103,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
104,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
105,3,3,0,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
106,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
107,3,0,3,1,3,3,1,1,3,1,2,2,1,2,2,3,2,1
108,3,3,1,1,3,3,1,1,3,1,2,2,1,2,2,3,2,1
109,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
110,3,0,3,1,3,3,1,1,3,1,2,2,1,2,2,3,2,1
111,3,0,3,1,3,3,1,1,3,1,2,2,1,2,2,3,2,1
112,3,0,1,1,3,3,2,3,3,2,3,1,1,2,2,2,2,1
113,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
114,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
115,3,0,3,1,3,3,2,1,3,1,2,2,1,2,2,3,2,1
116,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
117,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
118,3,0,1,1,3,3,2,3,3,2,3,1,1,2,2,2,2,1
119,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
120,3,0,3,1,3,3,2,3,3,1,3,2,1,2,2,3,2,1
121,3,3,1,1,3,1,1,1,3,1,2,0,1,2,2,2,2,1
122,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
123,3,0,3,1,3,3,2,3,3,2,3,1,2,2,3,3,2,2
124,3,0,3,1,3,2,1,1,3,0,3,1,2,2,3,3,2,2
