,india,new_zealand,argentina,singapore,china,indonesia,finland,germany,canada,switzerland,brazil,australia,egypt,hong_kong,united_states,malaysia,israel,south_africa
0,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
1,2,3,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
2,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
3,3,0,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
4,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
5,3,0,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
6,2,0,2,2,2,2,2,2,3,2,3,2,2,2,1,3,2,1
7,3,0,2,2,2,2,1,2,3,2,3,2,2,2,2,3,2,2
8,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
9,2,3,2,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
10,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
11,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
12,2,3,2,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
13,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
14,2,3,2,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
15,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
16,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
17,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
18,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
19,3,0,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,2
20,2,0,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,1
21,3,0,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,1
22,2,3,2,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
23,3,0,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,2
24,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
25,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
26,2,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
27,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
28,2,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
29,3,0,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
30,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
31,2,3,2,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
32,3,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
33,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
34,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
35,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
36,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
37,2,0,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,1
38,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
39,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
40,3,0,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
41,2,0,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,1
42,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
43,2,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
44,3,0,2,2,2,2,2,2,3,2,3,2,1,2,1,3,2,1
45,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
46,3,0,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
47,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
48,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
49,2,0,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,1
50,2,0,2,2,2,2,2,3,3,2,3,2,2,2,2,3,2,1
51,3,0,2,1,3,2,1,2,3,2,2,2,1,2,2,2,2,2
52,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
53,2,3,1,1,3,1,1,2,3,2,2,2,1,2,2,1,2,2
54,3,0,2,2,2,2,2,2,3,2,3,2,1,2,2,2,2,1
55,3,0,2,2,3,2,1,2,2,2,3,2,2,2,2,3,2,2
