,Country,Date,school_closures,workplace_closures,cancel_public_events,restrict_public_gathering,closure_public_transport,SHN_requirement,restriction_internal_movement,internation_travel_control,PI_Campaign,testing_policy,contact_tracing,Facial_Covering,Vaccine_policy,income_support,debt_relief,Confirmed_cases,Confirmed_Deathes
0,Argentina,2020-05-02,3G,3T,2G,4G,2G,2G,1G,4.0,2G,1.0,2.0,3G,0,1A,2.0,4681.0,237.0
1,Argentina,2020-05-03,3G,3T,2G,4G,2G,2G,1G,4.0,2G,1.0,2.0,3G,0,1A,2.0,4783.0,246.0
2,Argentina,2020-05-04,3G,3T,2G,4G,2G,2G,1G,4.0,2G,1.0,2.0,3G,0,1A,2.0,4887.0,260.0
3,Argentina,2020-05-05,3G,3T,2G,4G,2G,2G,1G,4.0,2G,1.0,2.0,3G,0,1A,2.0,5020.0,264.0
4,Argentina,2020-05-06,3G,3T,2G,4G,2G,2G,1G,4.0,2G,1.0,2.0,3G,0,1A,2.0,5208.0,273.0
5,Argentina,2020-05-07,3G,3T,2G,4G,2G,2G,1G,4.0,2G,1.0,2.0,3G,0,1A,2.0,5371.0,282.0
6,Argentina,2020-05-08,3G,3T,2G,4G,2G,2G,1G,4.0,2G,1.0,2.0,3G,0,1A,2.0,5611.0,293.0
7,Argentina,2020-05-09,3G,3T,2G,4G,2G,2G,1G,4.0,2G,1.0,2.0,3G,0,1A,2.0,5776.0,300.0
8,Argentina,2020-05-10,3G,3T,2G,4G,2G,2G,1G,4.0,2G,1.0,2.0,3G,0,1A,2.0,6034.0,305.0
9,Argentina,2020-05-11,3G,3T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,6278.0,314.0
10,Argentina,2020-05-12,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,6563.0,319.0
11,Argentina,2020-05-13,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,6879.0,329.0
12,Argentina,2020-05-14,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,7134.0,353.0
13,Argentina,2020-05-15,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,7479.0,356.0
14,Argentina,2020-05-16,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,7805.0,363.0
15,Argentina,2020-05-17,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,8068.0,373.0
16,Argentina,2020-05-18,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,8371.0,382.0
17,Argentina,2020-05-19,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,8809.0,393.0
18,Argentina,2020-05-20,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,9283.0,403.0
19,Argentina,2020-05-21,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,9931.0,416.0
20,Argentina,2020-05-22,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,10649.0,433.0
21,Argentina,2020-05-23,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,11353.0,445.0
22,Argentina,2020-05-24,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,12076.0,452.0
23,Argentina,2020-05-25,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,12628.0,467.0
24,Argentina,2020-05-26,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,13228.0,484.0
25,Argentina,2020-05-27,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,13933.0,500.0
26,Argentina,2020-05-28,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,14702.0,508.0
27,Argentina,2020-05-29,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,15419.0,520.0
28,Argentina,2020-05-30,3G,2T,2G,4G,2G,2G,2G,4.0,2G,1.0,2.0,3G,0,1A,2.0,16214.0,528.0
