country,date,school_closures,workplace_closures,cancel_public_events,restrict_public_gathering,closure_public_transport,shn_requirement,restriction_internal_movement,internation_travel_control,pi_campaign,testing_policy,contact_tracing,facial_covering,vaccine_policy,confirmed_cases,confirmed_deathes,cases_per_mil,cases_per_mil_cat
china,2020-05-02,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-03,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-04,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-05,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-06,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-07,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-08,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-09,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-10,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-11,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-12,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-13,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-14,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-15,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-16,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-17,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-18,2,1,1,3,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-19,2,1,1,2,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-20,1,1,1,2,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-21,1,1,1,2,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-22,1,1,1,2,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-23,1,1,1,2,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-24,1,1,1,2,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-25,1,1,1,2,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-26,1,1,1,2,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-27,1,1,1,2,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-28,1,1,1,2,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
china,2020-05-29,1,1,1,2,0,0,1,4.0,2,3.0,2.0,2,0,991.0,6.0,0.6843922651933702,0
